epsilon,success_deploy,success_strict,p_brake_mean,p_brake_median,n_frames
0.0,0.325,0.04,0.565011475981155,0.7219864428043365,200
1.0,0.97,0.27,0.9746641589514912,0.9943884611129761,200
2.0,0.97,0.315,0.9824783205986023,0.9953949153423309,200
4.0,0.945,0.325,0.9799593290686608,0.9953712821006775,200
5.0,0.965,0.335,0.9809406694554491,0.995865136384964,200
6.0,0.935,0.295,0.9791336703300476,0.9949241280555725,200
7.0,0.92,0.31,0.9796830508112907,0.9951883852481842,200
8.0,0.96,0.31,0.9819627048075199,0.9956966638565063,200
9.0,0.97,0.3,0.9820435413718224,0.9947397708892822,200
10.0,0.97,0.34,0.9849682313203811,0.9954576194286346,200
12.0,0.95,0.305,0.9685467411857098,0.9941910803318024,200
